,abalone,aloi,annthyroid,arrhytmia,breastcancer,cardio,cover,http_all,http_logged,ionosphere,kdd99,kdd_finger,kdd_ftp,kdd_ftp_distinct,kdd_http,kdd_http_distinct,kdd_other,kdd_smtp,kdd_smtp_distinct,magicgamma,mammography,mnist,mulcross,musk,penglobal,pima_odds,satellite,satimages,shuttle_odds,smtp_all,spambase,thyroid,vertebral,vowels_odds,wbc,wikiqoe,wine,yeast,mean,var
best_tree_gap,-0.09667662495898766,-0.006039850997630804,-0.3657072683504068,0.008772893269498816,0.028563691916262512,0.02112556150066247,-0.6473150700468444,-0.20533706136482077,-0.02130871698030956,-0.005155687094462014,-0.16990781789749732,-0.35809440055999203,-0.41999778760942175,-0.4825166437072705,-0.018220359968109334,-0.07877429128925462,-0.5032848400841627,-0.5763609128722165,-0.5329291842726033,-0.0006187240352228951,-0.26440829793726994,-0.07224111255784016,-0.35948172914394694,-0.0004155595706236692,-0.008436464083505513,-0.052782614883214785,0.0994619923476463,0.17722712017605935,-0.030055953665031998,-0.09371390639221577,-0.21667887992454593,-0.13363020998484043,-0.22782579106967674,-0.07171610323162411,-0.07303870001665258,0.011462634227995053,-0.04410322029731181,-0.08930581544840893,-0.1547227817594157,0.04037475762845269
kendall_gap,0.3541439912734508,0.0018696718286417002,-0.04203701065616544,0.1460067129537515,0.1573524706043108,0.2839481465936623,0.061763115352088546,0.6919294823837636,0.9464608426479629,0.1971441965432279,0.4224273869068903,-0.11659060196281484,-0.08839800023754885,0.017025914608615633,0.00932392382120717,0.15861250631030888,0.0178466845332938,0.23859057384527005,0.05115779341980664,0.049664616575524345,0.06167855740746604,0.19031609726057414,-0.07058755000804007,0.5904649649296283,0.21181675359717023,0.06822866266979088,0.44927371320955745,0.5719012396213606,-0.0095693826291402,0.03648724940454395,-0.012035688799358957,0.34690809893879393,-0.019759421582650635,0.09783543979026094,0.3519996877948583,0.020583719361085787,0.07985739649059509,0.10743706935551822,0.17450207958308586,0.053892727355334596
weighted_kendall_gap,0.08777184459480475,0.003017689871374435,0.10171345690104389,0.18152423443439927,0.09046734569561898,0.12048521832120773,0.061763115352088546,-0.03753215882650918,0.28027272333154274,0.07964740780978319,0.4823126992757833,-0.1674003834659749,-0.006928937868378893,0.13024203133941198,0.022216011665823654,0.21510025024254098,-0.21803570832068253,0.23852327111982563,0.0512275126287332,0.11159424492312786,0.06167855740746604,-0.013631257212069536,0.24130183367273428,0.3598004781772517,0.26495142675063554,0.06822866266979088,0.44927371320955745,0.5719012396213606,-0.0095693826291402,0.15476316901929943,0.015402520289230281,0.1455564033890917,-0.022901376591412226,0.12177672289944985,0.23142804924874028,0.01851601027619651,0.035909498111256696,0.06759819146970455,0.1207885876001239,0.025509837674067493
rbo_gap,0.39806306700222394,0.003396812765397387,0.0371845211431201,0.23316607903788167,0.17102770376890797,0.3073699455789392,0.009726281373067136,0.6451033420169836,0.10477180833341437,0.1837918195995818,0.39505770116404015,0.18535140507108006,0.26044657636088697,0.22313228502078822,0.012460338582524488,0.08383272269808395,-0.2545008732870915,-0.4273519042544934,0.04327961894668204,0.17161478436418737,0.0776765509398844,-0.06468798012163884,0.5044408879132459,0.11752192309251441,0.03479971563938167,0.1059297353094315,0.24008098346271317,0.24868432677277041,0.3622359183486814,0.19092170616569748,-0.11344503100447412,0.3588759074747045,-0.10564019371729272,0.09306696979221449,0.379582589465716,0.017138291108231993,0.0805797151914856,0.10874695996806913,0.14272192134440903,0.040029275979837874
weighted_rbo_gap,0.004200859821649305,0.0036145888153083887,0.10287862990389857,0.014186746232067948,0.2109348628953981,0.4280157414372622,-0.6258743752894472,0.7378019693464261,0.10045446636337652,0.22411754335605483,0.42174484326648615,0.07573924130523904,0.05340440754443598,0.2450135632505627,0.003066063042927447,0.08383272269808395,-0.23317569209585431,-0.4273519042544934,0.04327961894668204,0.24909526026383605,0.10239330340129733,0.27134205439629094,0.3187528273546701,0.7489488440922454,0.23642654818087527,0.08391049091429825,0.3274889870301979,0.5674152005035051,-0.002814140546854027,0.7135376996072871,0.01958722273301433,-0.012507992817593405,-0.021449489684483444,0.0792976538575068,0.2747843064423011,0.017138291108231993,0.0672809169771969,0.11309908057397466,0.14788449897299638,0.07385865415301548
Spearmanr_gap,0.19430557725747138,0.0018696718286417002,-0.04203701065616544,0.1460067129537515,0.05430839620382655,0.2839481465936623,0.06292769702219386,0.6919294823837636,0.9464608426479629,0.1971441965432279,0.3693800771055357,-0.010702908849195225,-0.08839800023754885,0.13024203133941198,0.00932392382120717,0.15861250631030888,0.21592886659095795,-0.48637003342883905,0.05115779341980664,0.049664616575524345,0.01055322142594145,0.19031609726057414,0.23043944318804577,0.5904649649296283,0.21181675359717023,0.06822866266979088,0.24045900442356666,0.5883315144830181,-0.0095693826291402,0.03648724940454395,-0.012035688799358957,0.34690809893879393,-0.019759421582650635,0.09783543979026094,0.3519996877948583,0.020583719361085787,0.07985739649059509,0.10743706935551822,0.1596330635665197,0.05878896510521709
kendall_weighted_kendall_gap,0.17874124649194817,0.0024137466348730374,-0.006322652772709214,0.08828931840742904,0.07369321843114252,0.02357846775169503,0.061763115352088546,0.04916119638294836,0.3091933542089893,0.05645155472055263,0.2943380692824191,-0.17818590382796584,-0.0258151048468368,-0.011513812589177164,0.007635585996674243,0.15461162657195315,-0.08311800360555421,0.23842208785905622,0.04317429742384671,0.020784989967978063,0.06167855740746604,0.012793773527618624,0.026702542592939915,0.22654596938898441,0.2102226157143594,0.06822866266979088,0.44927371320955745,0.5719012396213606,-0.0095693826291402,0.0511816323125025,-0.005987621233062623,0.20486466992008923,-0.009655059924890907,0.10663630764085073,0.17403843653274276,0.015527200418709405,0.07076435402205106,0.06729910900167607,0.09446692415881464,0.019760486439784505
kendall_rbo_gap,0.37077037497694953,0.0014943512440866447,-0.05224196745035581,0.1308718059699976,0.0970576379501481,0.12192066531082824,0.04256844351155645,0.494769022269053,0.12021468181037609,0.09251114176172082,0.2776674633741046,0.06553309364904458,-0.08939212895245507,0.053124801617632944,0.007088685359392555,-0.08090860256188359,-0.1593515527701992,-0.42659291715279496,0.02981525667690456,0.01103796940264079,0.04528291916893688,-0.045053384486947345,0.19548102577633963,0.18390688314079862,-0.043632463190375614,0.051544378981227434,0.17031514820351612,0.2171364120141629,0.02889719962314996,0.09211414141992058,-0.09031562239635954,0.2279775135268316,-0.07780554006919557,0.07825787462623437,0.2979363149849278,0.012247804358953868,0.08046768600002145,0.04721147963113889,0.06789284203447447,0.024193224156036187
kendall_weighted_rbo_gap,0.1617016071896551,0.002377288419467556,-0.028314178153116654,-0.05342358494984861,0.12554133932373646,0.2716048702908338,-0.22123594571729102,0.7209555560352947,0.15105224717814159,0.1505788546330037,0.31019307295334964,-0.0766901484041787,-0.3502754528985089,-0.020582052461026124,0.002261512113896247,-0.08090860256188359,-0.3650838913396972,-0.42659291715279496,0.02981525667690456,0.03853072408651681,0.07267053832861871,0.192318658947308,0.03998185577285274,0.5185621322453452,0.1301140677647169,0.059773475763596984,0.24467986157174593,0.45715873545996033,-0.008233084033319571,0.2602873007351941,0.01083522194796055,0.003831229937813485,-0.011683182826075458,0.0646612635482706,0.21858590874846323,0.012247804358953868,0.0740409468158886,0.09387871478397783,0.07303202645088754,0.04781346974497433
kendall_Spearmanr_gap,0.2387637345652869,0.0018696718286417002,-0.04203701065616544,0.1460067129537515,0.06490829370154294,0.2839481465936623,0.06160448395728861,0.6919294823837636,0.9464608426479629,0.1971441965432279,0.2690263688263592,-0.0739376889350723,-0.08839800023754885,-0.011513812589177164,0.00932392382120717,0.15861250631030888,-0.10805635595083374,0.052781120116090485,0.05115779341980664,0.049664616575524345,0.02813008141545656,0.19031609726057414,0.011087730680000685,0.5904649649296283,0.21181675359717023,0.06822866266979088,0.14892810294156533,0.5256596535697236,-0.0095693826291402,0.03648724940454395,-0.012035688799358957,0.34690809893879393,-0.019759421582650635,0.09783543979026094,0.3519996877948583,0.020583719361085787,0.07985739649059509,0.10743706935551822,0.14930619055431701,0.049303876796284056
