,wine,musk,smtp_all,kdd_smtp,aloi,arrhytmia,mammography,penglobal,satimages,kdd_ftp_distinct,mnist,wbc,cardio,pima_odds,breastcancer,magicgamma,abalone,kdd_finger,wikiqoe,yeast,kdd_ftp,satellite,vowels_odds,vertebral,spambase,thyroid,shuttle_odds,kdd_other,annthyroid,ionosphere,mean,var
rbo_10_gap,0.04611977152270867,0.10720361025364677,0.1981127709657472,0.16202666075402575,0.0042804935835019445,0.1535159058785957,0.021228808003263946,0.19109231296945028,0.37937320555042786,0.17619808996735703,0.10837765447556347,0.18462851079570713,0.2384383161118871,0.10482599180874713,0.20105713410406578,0.13207086478671493,0.03267007252094262,0.08496161710321759,0.013224918785847667,0.050281303882531575,0.024628788311398253,0.29730364974675905,0.0773243196520384,-0.037816538040626124,0.017347484512915123,0.07769449291678299,0.0027097302144034607,-0.14371319742587751,0.08980828283460737,0.15081960291314855,0.10485982098198332,0.010717381977145715
weight_rbo_weight_kendall_all_gap,0.027604939046313948,0.07410851886245651,0.24950702159110394,0.07964100537440447,0.003795870418219348,0.1262261721555511,0.03305281185768709,0.09599839934974641,0.31023840712464035,-0.003051644101036033,0.044734790639640865,0.12187878504675931,0.1827105358948508,0.06856973662343352,0.06876801634622842,0.09037989392287493,0.039536819624489294,-0.025562884082970194,0.004059906091136933,0.05045346380093063,0.038658011334638864,0.13276604669472836,0.06749601293886187,-0.019752933969301043,-0.008308826560800397,0.1673175945446942,0.0725072317555927,-0.15184049803793487,0.07323899846162257,0.061604157256294756,0.06921121200016195,0.007195921610876382
rbo_weight_kendall_all_gap,0.026506980265403046,0.10300226791049549,0.3322400389454585,0.07964100537440447,0.004301635420432576,0.11743570542082743,0.025672610006174934,-0.03222155977923202,0.23816407324240152,0.05700490119567264,-0.05852955618081801,0.07888533427863226,0.09879924185393435,0.06502353104078834,0.10637218131594717,0.09739655623661381,-0.03779354939864499,0.0405784601232792,0.00427463487809128,0.017883488681960824,0.012388396501053833,0.07283974839907992,0.017131822479225484,-0.017579799079674455,-0.10136575169544149,0.13631137783260666,0.13833630923480777,-0.24299244459200964,-0.0014746750348447746,0.08046884044427438,0.04862339351069667,0.01000063676700435
rbo_kendall_all_gap,0.0302277601630823,0.2508035487069771,0.4049208553287985,-0.24264129179388305,0.0035947102362390085,0.11846087682707468,0.053764182790038875,-0.028928923786979976,0.3090683736999935,0.024586720793262407,-0.008662707789646229,0.15599245710488457,0.05750303508563559,0.03630041008226409,0.10505458366027198,0.06869523577455239,0.006208901357685592,0.0944071069471124,0.016697856902917738,0.027463966647726823,0.011105423645437318,0.10065350273861906,0.0749330674509512,-0.017285591963720814,-0.10072332345287138,0.20374609979080777,0.21150468513602316,-0.20663668881825537,-0.03759257184585968,0.08846709160513522,0.06038964510080915,0.0170138999687054
best_tree_gap/%,-97.2935578344213,-0.2595477015292287,4.969296039826957,23.34963367057642,-10.661755436638954,7.645804943028025,-141.8080205640227,-11.41125365276806,15.952009769827164,-121.54895188023151,-40.19727371874647,-26.202989994805844,-10.6667865279489,-16.879935436005923,0.9443774821942169,-3.061885729062238,-54.284984684654425,-142.6409616419503,1.8814537026854015,-44.04264508058708,-6.514426826780946,13.144505581916235,-66.5555405983632,-225.37816864714563,-58.51791156408588,-27.39976438062878,-2.7604275623912473,-70.39314504801428,-144.04693141528375,-2.107878427484924,-41.89158877211658,3536.97876714958
kendall_gap/%,72.15770937617975,61.04418133177373,54.19352887630116,-84.29463950760633,9.124936755535646,36.52919278995137,35.14969265682246,28.066619634228502,64.65800763699893,5.305322609662755,28.662607648244187,54.78129436160605,25.089526666737825,7.461279445190917,6.925627741773348,17.475119839037205,44.920729688398424,43.99627963344136,17.43373960541401,29.918370051703825,5.569140636156638,70.18471000133466,56.89167256566486,-21.09882720753077,-5.796968082914972,50.19814899350368,39.55243041605871,16.979438531435274,15.056224804442556,16.75546887323665,26.76301887909274,956.7836344508459
weighted_kendall_gap/%,72.38004997046325,32.41623921250756,39.64086567674381,21.76421880923287,12.755719619802534,35.45818029357598,-18.719003238770952,23.44304196000262,55.51647859667202,15.521650011377785,15.667408139323062,36.43292975035275,39.618883648338496,17.207821061690353,9.988277313181793,20.890504237950342,21.673970870032626,5.42183046354719,10.684193402715374,26.278421765860337,4.695529569245066,57.887711961947296,44.02788827036161,-23.658984120058392,3.988282845738033,22.414874593540258,13.954135473313139,-33.61660645299776,16.845242616677623,12.709277258877764,20.442967786041486,495.95241032155997
rbo_gap/%,71.63587297371018,24.60455435792605,66.57388912943483,94.39426845213285,13.499732749544524,53.385891845969326,64.2620180454301,7.089708499876958,47.775896611342425,51.67603638726747,5.970588614614559,42.10497730857224,42.363522610200576,20.05817449135856,21.256801847215915,24.495370630698723,41.85185379505722,50.75930541428584,24.107312327388527,27.774441720335368,6.301115071489518,24.985319566062923,36.11407457611933,-43.09766037635788,-30.3644807899217,58.11012051364632,60.786683500694224,-28.19302805194843,8.016628846481098,25.900010785724486,30.473300048478404,915.7751084324344
weighted_rbo_gap/%,69.15136257722018,36.721248945137326,46.69997159015195,94.39426845213285,12.80089951286619,55.55818023559347,58.71038560874587,48.41970644192252,59.92280135975053,34.08646777720001,60.011664979090426,51.83479820519431,61.37170470592574,20.96039424064505,18.099957659318473,27.11702090523005,45.03070642336555,37.6825637919701,23.53017543417193,41.78338648450259,25.32913739321676,46.329530781049506,59.45576440455793,-38.97781120221531,-3.9474047069367164,68.75341165560451,48.975142560746264,-15.206977474246402,47.438331775056724,22.21040648444633,38.80823990004714,703.2123872473916
rbo_5_gap/%,54.484874544912046,4.261812716458747,22.317470625510914,96.0872567301238,14.024815018185377,43.99177335331849,35.83671553947658,41.555481877789155,33.58097786209868,34.260663834747696,52.000924333404,28.965714043337424,52.065762726198116,20.756926561275417,19.4119744991281,27.334927940192244,11.82004883013021,42.00090340645177,14.58059825179624,19.130604484932785,2.123618163611142,40.627474178929155,46.19836136131343,-90.93552864938532,4.212343566476829,18.425215061708407,26.67576580556843,-0.8125098334755767,34.61812113194826,24.442371240632667,25.801515306893165,846.8602059152828
rbo_10_gap/%,76.2383790505641,10.748185476001646,20.852456682899458,49.90904433917594,11.989969683920618,36.2492295859705,15.52792612819307,33.80566279110657,41.29347864706581,43.040248444087304,31.671785556908887,33.76619929951433,40.50455272523904,21.302188586738296,21.089475278292344,21.14774084453106,9.394088948205308,32.89030529675798,10.995736296302997,23.381477290183366,2.6902119871386057,46.72939759838082,44.90298265149637,-39.27022346407155,4.230271979145442,14.25348682278274,0.29086652931436163,-25.938965081650185,30.141405905167183,18.607342239702863,22.74783027063551,486.4747685943297
weight_rbo_weight_kendall_all_gap/%,45.63239879981516,7.430086581980137,26.261983689619388,24.531805135957807,10.632505422728986,29.805390314690328,24.17665752953806,16.982836548858625,33.76839179117561,-0.745431010607762,13.073088755499699,22.29007496477749,31.03783257359078,13.934382453164357,7.213279882524996,14.472007715886695,11.368582057585387,-9.895892879876502,3.375571335354302,23.461533949647322,4.222629395180394,20.86781440069014,39.19558958523592,-20.51224599703359,-2.026149448559262,30.695343254468227,7.783035646441358,-27.405871187423532,24.58043190498479,7.60040217130433,14.460268844573324,262.5754402951725
rbo_weight_kendall_all_gap/%,43.81741587693219,10.326960792938015,34.9700879285204,24.531805135957807,12.049189486243804,27.72972496254871,18.778369074349488,-5.700235491284993,25.923346533301935,13.924697540404344,-17.104407371335864,14.427121291188142,16.78345647688803,13.21374114288058,11.15769155945277,15.59554511714602,-10.867314864136656,15.708716328993082,3.554105597440032,8.316060885441493,1.3531892981165048,11.448758085566467,9.948615533054978,-18.255574785048857,-24.718552059982965,25.007080357850242,14.84922813769671,-43.85799389529148,-0.49492961451373724,9.927829173777251,8.744790941169812,317.93459736740675
rbo_kendall_all_gap/%,49.968058406965476,25.145450355299975,42.62014283373094,-74.74075522077283,10.069041318296664,27.971795472815035,39.32610152101025,-5.117743499230199,33.64103764615394,6.005845872469275,-2.5315497441190873,28.529030392563527,9.768290409308424,7.376779060284552,11.019484858606656,10.99976929628105,1.7853333991634575,36.546839332188455,13.883278543409046,12.771110987343933,1.213049681351207,15.820450079065726,43.5143592974991,-17.950058209845505,-24.56189267855319,37.37835513866049,22.703231994180378,-37.2961005102473,-12.616798042024053,10.914612017615806,10.80521833364904,673.7808009207143
