,thyroid,penglobal,satimages,arrhytmia,annthyroid,vowels_odds,http_all,ionosphere,kdd_ftp_distinct,abalone,wbc,kdd99,yeast,cover,mulcross,aloi,mammography,kdd_other,wikiqoe,musk,wine,satellite,pima_odds,kdd_http,kdd_smtp,spambase,shuttle_odds,mnist,magicgamma,cardio,kdd_http_distinct,smtp_all,breastcancer,http_logged,vertebral,kdd_smtp_distinct,kdd_ftp,kdd_finger,mean,var
rbo_0.1,0.2980666475304893,0.33822306027761245,0.1766728995953041,0.18089010670747366,0.1940481926104221,0.07049161205251421,0.30588222396821146,0.6182576422250249,0.31283564537095787,0.14325734706205587,0.22325065646629505,0.23940340812500457,0.15536081190148168,0.028876410097883033,0.4646410239265995,0.03066441268791322,0.08150469730009792,0.40434623009412174,0.0855372672997007,0.5468292606740989,0.021303171277709722,0.23162491324550846,0.4153227480392103,0.48787019917908186,0.10649354142107544,0.4412976317487642,0.3453470538660358,0.12064657453454153,0.4173500108453124,0.291796016073797,0.45600128583223476,0.3805747466999053,0.7447506974890868,0.8722944109992696,0.12773369667803863,0.0597395865178872,0.4657872937704024,0.15750094638236165,0.2905914231729865,0.039852585692433974
all,0.2926921499782581,0.37012987310506024,0.20519960041397614,0.20603131239358324,0.19388341769163925,0.07145114608301496,0.32295785059241294,0.6504796938064545,0.3238078373818577,0.15748922965320789,0.27068713284450896,0.4131830403842366,0.16704428847424094,0.039091710266437166,0.4805228522333942,0.031084824003742073,0.08854324443619951,0.7174013979488268,0.09073247252351471,0.6398279418568421,0.02591028870193459,0.28351219427928237,0.406363507186129,0.4924819587753847,0.2548651396784164,0.449062579338342,0.44070887467740316,0.14472085419653435,0.4240390520929923,0.2964802046463599,0.48838253535206083,0.44818033195687584,0.7697469288187503,0.8963226610117964,0.1292653864643582,0.0923122318637205,0.5553110493201783,0.18453721452036467,0.32932747391979705,0.0466371158702797
weighted_rbo_gap,0.25047457221798763,0.15156601021374766,0.7118587022964304,0.22928274922802516,0.10162388085780466,0.10486881704589213,0.4228638703775073,0.20769738833602114,0.1793969765471071,0.17708341269160116,0.2889441352877434,0.46442187535604423,0.047076690978399005,-0.07794039612815411,0.3147670627475494,0.004328030136111695,0.07264443012272279,-0.2177299637596939,0.030888056459951282,0.3473003705238039,0.040354875254546,0.3553450476395842,0.09106366016538664,0.12219625422727459,0.07699042671183834,-0.019203308110645356,0.5885416930367944,0.15644751853672817,0.19887832879410827,0.2941631699215155,0.29049944101808,0.5318564616424136,0.17411466005896792,0.2063196652077347,-0.03597500974765569,0.013542491147883244,0.3517595295993312,0.0892808108549179,0.19309453651303699,0.03535531398950071
rbo_0.9_gap,0.3067650007411352,0.18806962940022964,0.7165669591691173,0.22865967478006893,0.10390832314457593,0.10171146909283503,0.41584634408529036,0.19517750447107762,0.08910986277301047,0.20955485625418244,0.3170449424209169,0.4808019719057195,0.05743515307527472,0.05569232754667509,0.29446978181673694,0.00503620788364989,0.05323373832363257,0.14969745273400892,0.03409411075445318,0.4884028694056437,0.041707194198205816,0.36238197787606047,0.09397383836168288,0.07006523159106337,0.21694824427947035,-0.03340911712452732,0.5862590064087264,0.21925824751356696,0.20716523055868508,0.2968743927301801,0.32733201529845135,0.569494465663999,0.19760595642528422,0.4113263580385391,-0.04003974950908176,-0.011409179766743008,0.41055048431469765,0.07063416672037603,0.2233683406146545,0.03436465537444839
rbo_0.8_gap,0.3067650007411352,0.22659379904063087,0.7165669591691173,0.24337894053824943,0.10390832314457593,0.10171146909283503,0.41584634408529036,0.18908420880389876,0.08910986277301047,0.20451530764741507,0.3229367795057897,0.4808019719057195,0.05129158865667119,0.05569232754667509,0.29446978181673694,0.00503620788364989,0.05323373832363257,0.14969745273400892,0.034735886125178805,0.48212908402019905,0.04159303444219149,0.4045991020990861,0.09338146423278537,0.07006523159106337,0.21694824427947035,-0.03340911712452732,0.5862590064087264,0.21925824751356696,0.20716523055868508,0.2968743927301801,0.35726761282759,0.569494465663999,0.18732574567632354,0.4113263580385391,-0.03597500974765569,-0.01088254182434581,0.4113039237277255,0.09228081085491793,0.22664161146059839,0.034685689425633125
rbo_0.7_gap,0.26624748072808657,0.22659379904063087,0.752619451256428,0.24337894053824943,0.10390832314457593,0.10171146909283503,0.41584634408529036,0.17987619032473656,0.08910986277301047,0.20451530764741507,0.3229367795057897,0.45399848808542226,0.05129158865667119,0.05569232754667509,0.29446978181673694,0.00503620788364989,0.05323373832363257,0.14969745273400892,0.034735886125178805,0.4505819813723754,0.04159303444219149,0.4045991020990861,0.09338146423278537,0.06968308214674573,0.21694824427947035,-0.031983152859720476,0.5862590064087264,0.2209139496361718,0.20716523055868508,0.2968743927301801,0.35726761282759,0.569494465663999,0.18732574567632354,0.41123155344901097,-0.033583743030315194,-0.01088254182434581,0.4113039237277255,0.09228081085491793,0.224877725834227,0.034750827850436816
rbo_0.6_gap,0.26624748072808657,0.22659379904063087,0.752619451256428,0.24337894053824943,0.10390832314457593,0.10171146909283503,0.41584634408529036,0.17987619032473656,0.08910986277301047,0.20451530764741507,0.32152112015473705,0.45399848808542226,0.05129158865667119,0.05569232754667509,0.29446978181673694,0.00503620788364989,0.05323373832363257,0.14969745273400892,0.034735886125178805,0.4505819813723754,0.04159303444219149,0.4045991020990861,0.09338146423278537,0.06970454640073342,0.21694824427947035,-0.031983152859720476,0.5862590064087264,0.2209139496361718,0.20716523055868508,0.2968743927301801,0.35741046997044706,0.569494465663999,0.18732574567632354,0.31506399217897785,-0.033583743030315194,-0.01088254182434581,0.4113039237277255,0.09228081085491793,0.2223140705914838,0.034037975667120766
rbo_0.5_gap,0.26624748072808657,0.22659379904063087,0.752619451256428,0.24337894053824943,0.10390832314457593,0.10171146909283503,0.41584634408529036,0.17987619032473656,0.08910986277301047,0.20451530764741507,0.32152112015473705,0.45399848808542226,0.05129158865667119,0.05569232754667509,0.29446978181673694,0.00503620788364989,0.05323373832363257,0.14969745273400892,0.034735886125178805,0.4505819813723754,0.04159303444219149,0.4045991020990861,0.09338146423278537,0.0693007101914071,0.21694824427947035,-0.0313960718542976,0.5862590064087264,0.2240937829023416,0.20716523055868508,0.2968743927301801,0.35741046997044706,0.569494465663999,0.18732574567632354,0.31506399217897785,-0.033583743030315194,-0.013015875157679144,0.4113039237277255,0.09228081085491793,0.2223464322948768,0.03405970910598222
rbo_0.4_gap,0.26624748072808657,0.22659379904063087,0.742051359004752,0.24261104802606256,0.10390832314457593,0.10171146909283503,0.41584634408529036,0.17987619032473656,0.08910986277301047,0.20451530764741507,0.32152112015473705,0.45399848808542226,0.05129158865667119,0.05569232754667509,0.29446978181673694,0.00503620788364989,0.05323373832363257,0.14969745273400892,0.034735886125178805,0.4505819813723754,0.04159303444219149,0.4045991020990861,0.09338146423278537,0.0693007101914071,0.21694824427947035,-0.0313960718542976,0.5862590064087264,0.2240937829023416,0.20716523055868508,0.2968743927301801,0.3614698199399676,0.569494465663999,0.18732574567632354,0.31630701277290374,-0.033583743030315194,-0.013015875157679144,0.4113039237277255,0.09228081085491793,0.22218765297381318,0.03380223894629806
rbo_0.3_gap,0.26624748072808657,0.22659379904063087,0.742051359004752,0.24261104802606256,0.10390832314457593,0.10171146909283503,0.41584634408529036,0.17987619032473656,0.08910986277301047,0.20451530764741507,0.32152112015473705,0.45399848808542226,0.05129158865667119,0.05569232754667509,0.29446978181673694,0.00503620788364989,0.05520903915128915,0.14969745273400892,0.034735886125178805,0.4505819813723754,0.03919099464903478,0.4045991020990861,0.08149939295745856,0.0693007101914071,0.21694824427947035,-0.031217982061098215,0.5862590064087264,0.2240937829023416,0.20716523055868508,0.2968743927301801,0.3504402430647046,0.569494465663999,0.18732574567632354,0.21885427125144297,-0.033583743030315194,-0.013015875157679144,0.39681600186497745,0.09228081085491793,0.21863236453415266,0.033427851877768096
